title,start_time,end_time,description,exercise_title,set_index,set_type,weight_lbs,reps,distance_miles,duration_seconds,muscle_group
"Morning workout ,""13 Jul 2025 10:56"",""13 Jul 2025 11:53"",,Warm Up,0,normal,,,,400,Cardio"
"Morning workout ,""13 Jul 2025 10:56"",""13 Jul 2025 11:53"",,Band Pullaparts,0,normal,,10,,,Shoulders"
"Morning workout ,""13 Jul 2025 10:56"",""13 Jul 2025 11:53"",,Band Pullaparts,1,normal,,10,,,Shoulders"
"Morning workout ,""13 Jul 2025 10:56"",""13 Jul 2025 11:53"",,Dumbbell Row,0,normal,20,12,,,Upper Back"
"Morning workout ,""13 Jul 2025 10:56"",""13 Jul 2025 11:53"",,Dumbbell Row,1,normal,20,12,,,Upper Back"
"Morning workout ,""13 Jul 2025 10:56"",""13 Jul 2025 11:53"",,Dumbbell Row,2,normal,25,10,,,Upper Back"
"Morning workout ,""13 Jul 2025 10:56"",""13 Jul 2025 11:53"",,Dumbbell Row,3,normal,25,10,,,Upper Back"
"Morning workout ,""13 Jul 2025 10:56"",""13 Jul 2025 11:53"",,Seated Cable Row - V Grip (Cable),0,normal,55,10,,,Upper Back"
"Morning workout ,""13 Jul 2025 10:56"",""13 Jul 2025 11:53"",,Seated Cable Row - V Grip (Cable),1,normal,70,7,,,Upper Back"
"Morning workout ,""13 Jul 2025 10:56"",""13 Jul 2025 11:53"",,Seated Cable Row - V Grip (Cable),2,normal,70,7,,,Upper Back"
"Morning workout ,""13 Jul 2025 10:56"",""13 Jul 2025 11:53"",,Pull Up (Assisted),0,normal,70,10,,,Lats"
"Morning workout ,""13 Jul 2025 10:56"",""13 Jul 2025 11:53"",,Pull Up (Assisted),1,normal,55,9,,,Lats"
"Morning workout ,""13 Jul 2025 10:56"",""13 Jul 2025 11:53"",,Pull Up (Assisted),2,failure,40,4,,,Lats"
"Morning workout ,""13 Jul 2025 10:56"",""13 Jul 2025 11:53"",,Lateral Raise (Machine),0,normal,20,10,,,Shoulders"
"Morning workout ,""13 Jul 2025 10:56"",""13 Jul 2025 11:53"",,Lateral Raise (Machine),1,normal,30,8,,,Shoulders"
"Morning workout ,""13 Jul 2025 10:56"",""13 Jul 2025 11:53"",,Lateral Raise (Machine),2,normal,40,6,,,Shoulders"
"Morning workout ,""13 Jul 2025 10:56"",""13 Jul 2025 11:53"",,Shoulder Press (Machine Plates),0,warmup,15,10,,,Shoulders"
"Morning workout ,""13 Jul 2025 10:56"",""13 Jul 2025 11:53"",,Shoulder Press (Machine Plates),1,normal,30,8,,,Shoulders"
"Morning workout ,""13 Jul 2025 10:56"",""13 Jul 2025 11:53"",,Shoulder Press (Machine Plates),2,normal,30,7,,,Shoulders"
"Morning workout ,""13 Jul 2025 10:56"",""13 Jul 2025 11:53"",,Cycling,0,normal,,,0.8,330,Cardio"
"Morning workout ,""12 Jul 2025 20:06"",""12 Jul 2025 20:50"",,Cycling,0,normal,,,0.8,330,Cardio"
"Morning workout ,""12 Jul 2025 20:06"",""12 Jul 2025 20:50"",,Cycling,1,normal,,,0.8,330,Cardio"
"Morning workout ,""12 Jul 2025 20:06"",""12 Jul 2025 20:50"",,Yoga,0,normal,,,,1800,Full Body"
"Afternoon workout ,""11 Jul 2025 17:58"",""11 Jul 2025 18:43"",,Deadlift (Barbell),0,normal,60,8,,,Hamstrings"
"Afternoon workout ,""11 Jul 2025 17:58"",""11 Jul 2025 18:43"",,Deadlift (Barbell),1,normal,60,8,,,Hamstrings"
"Afternoon workout ,""11 Jul 2025 17:58"",""11 Jul 2025 18:43"",,Bench Press (Barbell),0,normal,60,8,,,Chest"
"Afternoon workout ,""11 Jul 2025 17:58"",""11 Jul 2025 18:43"",,Bench Press (Barbell),1,normal,60,8,,,Chest"
"Afternoon workout ,""11 Jul 2025 17:58"",""11 Jul 2025 18:43"",,Bench Press (Barbell),2,normal,70,5,,,Chest"
"Afternoon workout ,""11 Jul 2025 17:58"",""11 Jul 2025 18:43"",,Incline Bench Press (Dumbbell),0,normal,30,10,,,Chest"
"Afternoon workout ,""11 Jul 2025 17:58"",""11 Jul 2025 18:43"",,Incline Bench Press (Dumbbell),1,normal,30,9,,,Chest"
"Afternoon workout ,""11 Jul 2025 17:58"",""11 Jul 2025 18:43"",,Incline Bench Press (Dumbbell),2,normal,30,8,,,Chest"
"Afternoon workout ,""11 Jul 2025 17:58"",""11 Jul 2025 18:43"",,Triceps Pushdown,0,normal,20,12,,,Triceps"
"Afternoon workout ,""11 Jul 2025 17:58"",""11 Jul 2025 18:43"",,Triceps Pushdown,1,normal,25,10,,,Triceps"
"Afternoon workout ,""11 Jul 2025 17:58"",""11 Jul 2025 18:43"",,Triceps Pushdown,2,normal,30,8,,,Triceps"
"Afternoon workout ,""11 Jul 2025 17:58"",""11 Jul 2025 18:43"",,Cycling,0,normal,,,0.8,330,Cardio"
"Afternoon workout ,""11 Jul 2025 17:58"",""11 Jul 2025 18:43"",,Cycling,1,normal,,,0.8,330,Cardio"
"Day 3  (Legs Adductors Calves Hams),""10 Jul 2025 17:19"",""10 Jul 2025 18:12"",,Lying Leg Curl (Machine),0,normal,30,10,,,Hamstrings"
"Day 3  (Legs Adductors Calves Hams),""10 Jul 2025 17:19"",""10 Jul 2025 18:12"",,Lying Leg Curl (Machine),1,normal,40,9,,,Hamstrings"
"Day 3  (Legs Adductors Calves Hams),""10 Jul 2025 17:19"",""10 Jul 2025 18:12"",,Lying Leg Curl (Machine),2,normal,50,6,,,Hamstrings"
"Day 3  (Legs Adductors Calves Hams),""10 Jul 2025 17:19"",""10 Jul 2025 18:12"",,Leg Press Horizontal (Machine),0,normal,110,10,,,Quadriceps"
"Day 3  (Legs Adductors Calves Hams),""10 Jul 2025 17:19"",""10 Jul 2025 18:12"",,Leg Press Horizontal (Machine),1,normal,130,10,,,Quadriceps"
"Day 3  (Legs Adductors Calves Hams),""10 Jul 2025 17:19"",""10 Jul 2025 18:12"",,Leg Press Horizontal (Machine),2,normal,150,9,,,Quadriceps"
"Day 3  (Legs Adductors Calves Hams),""10 Jul 2025 17:19"",""10 Jul 2025 18:12"",,Leg Extension (Machine),0,normal,40,12,,,Quadriceps"
"Day 3  (Legs Adductors Calves Hams),""10 Jul 2025 17:19"",""10 Jul 2025 18:12"",,Leg Extension (Machine),1,normal,55,10,,,Quadriceps"
"Day 3  (Legs Adductors Calves Hams),""10 Jul 2025 17:19"",""10 Jul 2025 18:12"",,Leg Extension (Machine),2,normal,70,8,,,Quadriceps"
"Day 3  (Legs Adductors Calves Hams),""10 Jul 2025 17:19"",""10 Jul 2025 18:12"",,Standing Calf Raise (Machine),0,normal,120,10,,,Calves"
"Day 3  (Legs Adductors Calves Hams),""10 Jul 2025 17:19"",""10 Jul 2025 18:12"",,Standing Calf Raise (Machine),1,normal,140,9,,,Calves"
"Day 3  (Legs Adductors Calves Hams),""10 Jul 2025 17:19"",""10 Jul 2025 18:12"",,Standing Calf Raise (Machine),2,normal,150,9,,,Calves"
"Day 3  (Legs Adductors Calves Hams),""10 Jul 2025 17:19"",""10 Jul 2025 18:12"",,Hip Adduction (Machine),0,normal,30,10,,,Adductors"
"Day 3  (Legs Adductors Calves Hams),""10 Jul 2025 17:19"",""10 Jul 2025 18:12"",,Hip Adduction (Machine),1,normal,45,9,,,Adductors"
"Day 3  (Legs Adductors Calves Hams),""10 Jul 2025 17:19"",""10 Jul 2025 18:12"",,Hip Adduction (Machine),2,normal,60,5,,,Adductors"
"Day 3  (Legs Adductors Calves Hams),""10 Jul 2025 17:19"",""10 Jul 2025 18:12"",,Hip Abduction (Machine),0,normal,45,12,,,Abductors"
"Day 3  (Legs Adductors Calves Hams),""10 Jul 2025 17:19"",""10 Jul 2025 18:12"",,Hip Abduction (Machine),1,normal,60,10,,,Abductors"
"Day 3  (Legs Adductors Calves Hams),""10 Jul 2025 17:19"",""10 Jul 2025 18:12"",,Hip Abduction (Machine),2,normal,75,7,,,Abductors"
"Day 3  (Legs Adductors Calves Hams),""10 Jul 2025 17:19"",""10 Jul 2025 18:12"",,Warm Up,0,normal,,,,180,Cardio"
"Day 3  (Legs Adductors Calves Hams),""10 Jul 2025 17:19"",""10 Jul 2025 18:12"",,Cycling,0,normal,,,0.8,330,Cardio"
"Day 3  (Legs Adductors Calves Hams),""10 Jul 2025 17:19"",""10 Jul 2025 18:12"",,Cycling,1,normal,,,0.8,330,Cardio"
"Day 1 (Chest and triceps),""7 Jul 2025 11:21"",""7 Jul 2025 12:10"",,Bench Press (Dumbbell),0,normal,20,12,,,Chest"
"Day 1 (Chest and triceps),""7 Jul 2025 11:21"",""7 Jul 2025 12:10"",,Bench Press (Dumbbell),1,normal,30,10,,,Chest"
"Day 1 (Chest and triceps),""7 Jul 2025 11:21"",""7 Jul 2025 12:10"",,Bench Press (Dumbbell),2,normal,40,10,,,Chest"
"Day 1 (Chest and triceps),""7 Jul 2025 11:21"",""7 Jul 2025 12:10"",,Bench Press (Dumbbell),3,normal,50,7,,,Chest"
"Day 1 (Chest and triceps),""7 Jul 2025 11:21"",""7 Jul 2025 12:10"",,Incline Bench Press (Dumbbell),0,normal,20,12,,,Chest"
"Day 1 (Chest and triceps),""7 Jul 2025 11:21"",""7 Jul 2025 12:10"",,Incline Bench Press (Dumbbell),1,normal,30,10,,,Chest"
"Day 1 (Chest and triceps),""7 Jul 2025 11:21"",""7 Jul 2025 12:10"",,Incline Bench Press (Dumbbell),2,normal,30,8,,,Chest"
"Day 1 (Chest and triceps),""7 Jul 2025 11:21"",""7 Jul 2025 12:10"",,Incline Bench Press (Dumbbell),3,normal,40,7,,,Chest"
"Day 1 (Chest and triceps),""7 Jul 2025 11:21"",""7 Jul 2025 12:10"",,Triceps Pushdown,0,normal,20,10,,,Triceps"
"Day 1 (Chest and triceps),""7 Jul 2025 11:21"",""7 Jul 2025 12:10"",,Triceps Pushdown,1,normal,25,9,,,Triceps"
"Day 1 (Chest and triceps),""7 Jul 2025 11:21"",""7 Jul 2025 12:10"",,Triceps Pushdown,2,normal,30,7,,,Triceps"
"Day 1 (Chest and triceps),""7 Jul 2025 11:21"",""7 Jul 2025 12:10"",,Triceps Extension (Machine),0,normal,40,12,,,Triceps"
"Day 1 (Chest and triceps),""7 Jul 2025 11:21"",""7 Jul 2025 12:10"",,Triceps Extension (Machine),1,normal,50,9,,,Triceps"
"Day 1 (Chest and triceps),""7 Jul 2025 11:21"",""7 Jul 2025 12:10"",,Triceps Extension (Machine),2,normal,50,8,,,Triceps"
"Day 1 (Chest and triceps),""7 Jul 2025 11:21"",""7 Jul 2025 12:10"",,Warm Up,0,normal,,,,300,Cardio"
